,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,主要建材,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
12395,111,新北市淡水區新市五路三段336號十七樓,淡水區,5.0,房地(土地+建物)+車位,1110308,1061229,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,坡道平面,有,60811,False
12396,111,新北市淡水區崁頂三路121號二樓,淡水區,23.0,房地(土地+建物)+車位,1110316,0880525,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,43231,False
12397,111,新北市淡水區新市五路三段200號十九樓,淡水區,5.0,房地(土地+建物)+車位,1110114,1061229,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,坡道機械,有,84952,False
12398,111,新北市三重區中正南路129巷34弄3號,三重區,60.0,房地(土地+建物),1110227,0511008,透天厝,加強磚造,3,2,2,,無,116485,False
12399,111,新北市三重區集英路76號十四樓,三重區,14.0,房地(土地+建物),1110313,0971224,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,,有,178924,False
12400,111,新北市三重區自強路三段110巷35號四樓,三重區,29.0,房地(土地+建物),1110319,0820106,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,1,,有,152937,False
12401,111,新北市蘆洲區民族路436巷26號四樓,蘆洲區,33.0,房地(土地+建物),1110225,0780119,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,100047,False
12402,111,新北市蘆洲區長安街46巷14號二樓,蘆洲區,26.0,房地(土地+建物),1110320,0850719,公寓(5樓含以下無電梯),鋼筋混凝土造,2,1,1,,無,108502,False
12403,111,新北市瑞芳區一坑路236號二樓之1,瑞芳區,27.0,房地(土地+建物),1110313,0840128,華廈(10層含以下有電梯),鋼筋混凝土造,3,2,2,,有,47447,False
12404,111,新北市蘆洲區中正路59號七樓,蘆洲區,6.0,房地(土地+建物)+車位,1110311,1050726,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,152248,False
12405,111,新北市三重區成功路100號十八樓之二,三重區,7.0,房地(土地+建物),1110406,1041105,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,,有,170917,False
12406,111,新北市三重區福德南路28號六樓,三重區,5.0,房地(土地+建物)+車位,1110217,1061129,華廈(10層含以下有電梯),鋼筋混凝土造,2,2,2,升降機械,有,142514,False
12407,111,新北市蘆洲區信義路222巷6號五樓,蘆洲區,41.0,房地(土地+建物),1110328,0701130,公寓(5樓含以下無電梯),鋼筋混凝土造,7,0,7,,無,114130,False
12408,111,新北市三重區長元街100之2號十四樓,三重區,9.0,房地(土地+建物)+車位,1110310,1020806,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,坡道平面,有,140688,False
12409,111,新北市蘆洲區長安街73巷28號二樓,蘆洲區,26.0,房地(土地+建物),1110226,0850718,公寓(5樓含以下無電梯),鋼筋混凝土造,2,1,1,,無,126289,False
12410,111,新北市三重區河邊北街17號十二樓之三,三重區,1.0,房地(土地+建物)+車位,1110213,1100125,住宅大樓(11層含以上有電梯),鋼骨鋼筋混凝土構造、鋼骨構造、鋼筋混凝土構造,3,2,1,坡道平面,有,161902,False
12411,111,新北市三重區成功路50巷10號十一樓之三,三重區,14.0,房地(土地+建物),1110309,0970915,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,,有,152729,False
12412,111,新北市蘆洲區中山一路122巷49號三樓,蘆洲區,53.0,房地(土地+建物),1110316,0580630,公寓(5樓含以下無電梯),加強磚造,2,2,1,,無,130069,False
12413,111,新北市中和區連城路601號四樓之一,中和區,15.0,房地(土地+建物)+車位,1110123,0960212,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,坡道平面,有,120995,False
12414,111,新北市中和區捷運路58之9號四樓,中和區,11.0,房地(土地+建物),1110312,1000415,住宅大樓(11層含以上有電梯),鋼骨鋼筋混凝土構造,2,2,1,,有,184355,False
12415,111,新北市中和區景平路59之18號三樓,中和區,26.0,房地(土地+建物),1110408,0851030,住宅大樓(11層含以上有電梯),鋼筋混凝土造,1,1,1,,有,168989,False
12416,111,新北市中和區中山路二段2巷13弄29號四樓,中和區,44.0,房地(土地+建物),1110303,0670714,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,2,,無,121097,False
12417,111,新北市中和區華順街142號十四樓之二,中和區,21.0,房地(土地+建物),1110328,0900808,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,87248,False
12418,111,新北市永和區環河西路一段77號十樓之二,永和區,12.0,房地(土地+建物),1110314,0990722,住宅大樓(11層含以上有電梯),鋼筋混凝土構造,2,2,1,,有,160325,False
12419,111,新北市永和區秀朗路一段10巷14號,永和區,53.0,房地(土地+建物),1110311,0581224,透天厝,加強磚造,5,2,4,,無,156120,False
12420,111,新北市中和區忠孝街106巷12號,中和區,42.0,房地(土地+建物),1110301,0690121,透天厝,加強磚造,9,0,6,,無,145833,False
12421,111,新北市永和區得和路373巷6弄6號二樓,永和區,42.0,房地(土地+建物),1110312,0690108,公寓(5樓含以下無電梯),鋼筋混凝土造,3,2,1,,無,126365,False
12422,111,新北市永和區保順路37巷5弄3號三樓,永和區,25.0,房地(土地+建物)+車位,1110318,0860304,華廈(10層含以下有電梯),鋼筋混凝土造,4,2,2,坡道機械,有,153322,False
12423,111,新北市永和區成功路一段34號五樓,永和區,45.0,房地(土地+建物),1110212,0660526,公寓(5樓含以下無電梯),加強磚造,3,2,1,,無,140764,False
12424,111,新北市中和區環河西路三段66號十二樓,中和區,5.0,房地(土地+建物)+車位,1110313,1061207,住宅大樓(11層含以上有電梯),鋼筋混凝土構造,2,1,1,坡道平面,有,178256,False
12425,111,新北市中和區中安街210號十三樓,中和區,21.0,房地(土地+建物)+車位,1110220,0900326,住宅大樓(11層含以上有電梯),鋼筋混凝土造,4,2,2,坡道平面,有,202991,False
12426,110,新北市中和區中原街100之1號二十三樓,中和區,1.0,房地(土地+建物)+車位,1100913,1091202,住宅大樓(11層含以上有電梯),鋼筋混凝土構造,2,2,1,坡道平面,有,152017,False
12427,111,新北市中和區民德路54號十六樓,中和區,28.0,房地(土地+建物),1110314,0831129,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,1,1,,有,143297,False
12428,111,新北市中和區中山路二段150號四樓之三,中和區,27.0,房地(土地+建物),1110216,0840107,住宅大樓(11層含以上有電梯),鋼筋混凝土造,3,2,2,,有,117499,False
12429,111,新北市樹林區佳園路三段478號九樓,樹林區,16.0,房地(土地+建物)+車位,1110320,0950425,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,坡道機械,有,109533,False
12430,111,新北市樹林區三福街123巷25號四樓,樹林區,45.0,房地(土地+建物),1110318,0660802,公寓(5樓含以下無電梯),鋼筋混凝土造,2,1,1,,無,71465,False
12431,111,新北市樹林區佳園路三段54巷16號,樹林區,14.0,房地(土地+建物),1110311,0971212,透天厝,鋼筋混凝土造,3,2,4,,有,83926,False
12432,111,新北市板橋區四川路二段243號六樓之二,板橋區,30.0,房地(土地+建物),1110314,0810808,住宅大樓(11層含以上有電梯),鋼骨混凝土造,0,0,0,,有,123235,False
12433,110,新北市板橋區互助街17號十八樓,板橋區,3.0,房地(土地+建物)+車位,1101219,1070606,住宅大樓(11層含以上有電梯),鋼筋混凝土造,2,2,1,坡道平面,有,205501,False
12434,111,新北市板橋區金華街25號三樓,板橋區,46.0,房地(土地+建物),1110301,0651002,公寓(5樓含以下無電梯),鋼筋混凝土造,4,2,2,,無,126134,False
