,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
3137,109,正榮街117號十二樓,中正區,0.0,房地(土地+建物)+車位,1090924,1090721,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,75532,False,12,121.7636958,25.142241100000003
3138,109,正榮街117號九樓,中正區,0.0,房地(土地+建物)+車位,1090929,1090721,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,68163,False,9,121.7636958,25.142241100000003
3139,109,觀海街75號,中正區,21.0,房地(土地+建物)+車位,1090926,0880114,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,38175,False,1,121.7939121,25.138344800000002
3140,109,自治街52巷1號,七堵區,45.0,房地(土地+建物),1090918,0641218,透天厝,3,2,2,,無,80321,False,1,121.19190855,24.61725345
3141,109,麥金路176之5號,安樂區,37.0,房地(土地+建物),1090928,0720603,公寓(5樓含以下無電梯),0,0,0,,無,31540,False,1,121.723502,25.119474900000004
3142,109,基金一路135巷39號7樓,安樂區,27.0,房地(土地+建物)+車位,1090915,0820315,華廈(10層含以下有電梯),3,2,2,坡道平面,有,55009,False,7,121.70895175,25.13986965
3143,109,仁一路257號二十一樓,仁愛區,12.0,房地(土地+建物),1090922,0970204,住宅大樓(11層含以上有電梯),1,1,1,,有,111231,False,21,121.74895079999999,25.1280761
3144,109,孝東路98號十樓,信義區,3.0,房地(土地+建物)+車位,1090918,1061018,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,63946,False,10,121.77973309999999,25.1284296
3145,109,新豐街338號12樓,中正區,24.0,房地(土地+建物),1090905,0850309,住宅大樓(11層含以上有電梯),3,2,2,,有,39460,False,12,121.78690459999999,25.135933299999998
3146,109,劉銘傳路20巷20之3號,仁愛區,47.0,房地(土地+建物),1090930,0620719,公寓(5樓含以下無電梯),3,2,2,,無,42367,False,1,121.75074950000001,25.127153500000002
3147,109,新豐街303巷19弄20號2樓,中正區,24.0,房地(土地+建物),1090923,0851119,公寓(5樓含以下無電梯),3,2,1,,無,33642,False,2,121.78917229999999,25.1334161
3148,109,深澳坑路172巷87之39號3樓,信義區,22.0,房地(土地+建物),1090919,0870610,公寓(5樓含以下無電梯),2,1,1,,無,33913,False,3,121.78611169999998,25.124759999999995
3149,109,調和街300號十二樓之6,中正區,1.0,房地(土地+建物),1090926,1080212,住宅大樓(11層含以上有電梯),1,1,1,,有,65138,False,12,121.79927959999999,25.1275609
3150,109,教忠街40巷56弄16號,信義區,11.0,房地(土地+建物)+車位,1090930,0980710,透天厝,5,4,4,一樓平面,無,59450,False,1,121.77828310000001,25.134517599999995
