,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
9477,110,中正路656巷54號,中正區,44.0,房地(土地+建物),1100304,0660208,公寓(5樓含以下無電梯),3,1,1,,無,49645,False
9478,110,基金一路208巷174弄20號5樓,安樂區,27.0,房地(土地+建物),1100316,0831015,公寓(5樓含以下無電梯),3,2,2,,無,28769,False
9479,110,武嶺街195之2號,安樂區,45.0,房地(土地+建物),1100323,0650113,公寓(5樓含以下無電梯),3,1,1,,無,41026,False
9480,110,武嶺街311號3樓之4,安樂區,25.0,房地(土地+建物),1100324,0850118,華廈(10層含以下有電梯),1,0,1,,有,64589,False
9481,110,樂利三街263巷19弄29之3號,安樂區,39.0,房地(土地+建物),1100227,0710603,公寓(5樓含以下無電梯),3,2,2,,無,31491,False
9482,110,武嶺街247之3號7樓　,安樂區,26.0,房地(土地+建物)+車位,1100309,0841220,華廈(10層含以下有電梯),3,2,2,坡道平面,有,43921,False
9483,110,基金一路208巷174弄2號2樓,安樂區,27.0,房地(土地+建物),1100311,0831015,公寓(5樓含以下無電梯),3,2,2,,無,33884,False
9484,110,樂利三街263巷95號3樓,安樂區,29.0,房地(土地+建物)+車位,1100316,0810528,公寓(5樓含以下無電梯),3,2,2,坡道平面,無,32846,False
9485,110,中和路168巷1弄3號2樓,安樂區,23.0,房地(土地+建物),1100329,0870710,公寓(5樓含以下無電梯),3,2,1,,無,36225,False
9486,110,武聖街50巷3號3樓,安樂區,31.0,房地(土地+建物),1100324,0790424,公寓(5樓含以下無電梯),3,2,1,,無,22942,False
9487,110,百七街71巷43之2號,七堵區,40.0,房地(土地+建物),1100310,0700106,公寓(5樓含以下無電梯),2,2,1,,無,48022,False
9488,110,明德二路15之37號12樓,七堵區,26.0,房地(土地+建物)+車位,1100301,0840801,住宅大樓(11層含以上有電梯),2,2,2,坡道平面,有,44413,False
9489,110,復興路339號3樓,中山區,26.0,房地(土地+建物)+車位,1100304,0840116,華廈(10層含以下有電梯),4,2,2,坡道機械,有,51695,False
9490,110,基金一路112巷91弄28號,安樂區,40.0,房地(土地+建物),1100313,0701230,透天厝,5,2,3,,無,64873,False
9491,110,樂利三街8巷43號6樓,安樂區,26.0,房地(土地+建物),1100131,0840504,住宅大樓(11層含以上有電梯),2,1,1,,有,42807,False
9492,110,豐稔街87巷55號,中正區,37.0,房地(土地+建物),1100314,0731009,公寓(5樓含以下無電梯),5,2,1,,無,49419,False
9493,110,東信路35巷116之2號,信義區,40.0,房地(土地+建物),1100311,0700807,公寓(5樓含以下無電梯),2,2,1,,無,27954,False
9494,110,調和街290巷130號,中正區,34.0,房地(土地+建物),1100202,0760416,透天厝,3,2,2,,無,31425,False
9495,110,培德路189號5樓,信義區,25.0,房地(土地+建物),1100311,0851226,住宅大樓(11層含以上有電梯),3,2,2,,有,45472,False
9496,110,月眉路65巷66號,信義區,28.0,房地(土地+建物),1100307,0821206,公寓(5樓含以下無電梯),3,2,2,,無,58673,False
9497,110,觀海街145號5樓,中正區,22.0,房地(土地+建物)+車位,1100317,0880114,住宅大樓(11層含以上有電梯),2,2,2,坡道平面,有,30447,False
9498,110,新豐街323巷5號,中正區,38.0,房地(土地+建物),1100308,0721121,透天厝,4,1,2,,無,59775,False
9499,110,南興路21之1號,七堵區,46.0,房地(土地+建物),1100330,0640502,公寓(5樓含以下無電梯),2,2,1,,無,61128,False
9500,110,基金三路57之2號3樓,安樂區,29.0,房地(土地+建物),1100303,0810718,公寓(5樓含以下無電梯),3,2,2,,無,41599,False
9501,110,新豐街303巷13弄10號4樓,中正區,25.0,房地(土地+建物),1100306,0851119,公寓(5樓含以下無電梯),3,2,2,,無,32386,False
9502,110,基金一路135巷115號,安樂區,26.0,房地(土地+建物),1100311,0840519,華廈(10層含以下有電梯),3,2,2,,有,48759,False
9503,110,德安路2之4號5樓,中山區,32.0,房地(土地+建物),1100226,0781117,公寓(5樓含以下無電梯),6,3,3,,無,27692,False
9504,110,碇內街382號6樓,暖暖區,26.0,房地(土地+建物),1100310,0840808,華廈(10層含以下有電梯),3,2,1,,有,16276,False
9505,110,安一路100巷259之3號,安樂區,48.0,房地(土地+建物),1100316,0620109,公寓(5樓含以下無電梯),3,1,1,,無,21604,False
9506,110,中和路168巷15弄25號,安樂區,26.0,房地(土地+建物),1100308,0840117,公寓(5樓含以下無電梯),7,1,1,,無,29187,False
9507,110,源遠路343號10樓,暖暖區,25.0,房地(土地+建物),1100306,0850104,住宅大樓(11層含以上有電梯),3,2,1,,有,44382,False
9508,110,東新街89巷37之3號,七堵區,34.0,房地(土地+建物),1100310,0761231,公寓(5樓含以下無電梯),3,2,2,,無,31040,False
9509,110,自治街38巷5號2樓,七堵區,50.0,房地(土地+建物),1100315,0600628,公寓(5樓含以下無電梯),2,2,1,,無,67637,False
9510,110,基金二路1巷182號10樓,安樂區,28.0,房地(土地+建物)+車位,1100306,0820107,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,31969,False
9511,110,源遠路249巷120號,暖暖區,28.0,房地(土地+建物)+車位,1100307,0820219,華廈(10層含以下有電梯),4,2,3,坡道平面,有,53657,False
9512,110,過港路3之3號,暖暖區,43.0,房地(土地+建物),1100322,0670802,公寓(5樓含以下無電梯),3,1,1,,無,30084,False
9513,110,麥金路174之4號,安樂區,40.0,房地(土地+建物),1100331,0700706,公寓(5樓含以下無電梯),3,2,1,,無,32982,False
9514,110,明德二路15之23號4樓之5,七堵區,26.0,房地(土地+建物),1100310,0840801,住宅大樓(11層含以上有電梯),1,1,1,,有,65140,False
9515,110,崇孝街42巷48弄14號,七堵區,40.0,房地(土地+建物),1100309,0701228,公寓(5樓含以下無電梯),3,2,2,,無,59231,False
9516,110,寧靜街151之11號,暖暖區,47.0,房地(土地+建物),1100210,0630218,公寓(5樓含以下無電梯),2,2,1,,無,39912,False
9517,110,新民路41之1號,中山區,39.0,房地(土地+建物),1100324,0710308,公寓(5樓含以下無電梯),2,1,1,,無,43268,False
9518,109,武嶺街311號3樓,安樂區,24.0,房地(土地+建物),1091231,0850118,華廈(10層含以下有電梯),3,2,2,,有,41313,False
9519,110,暖暖街118號2樓,暖暖區,27.0,房地(土地+建物)+車位,1100304,0830312,華廈(10層含以下有電梯),1,1,2,坡道平面,有,44213,False
9520,110,深溪路55巷40號3樓,信義區,22.0,房地(土地+建物)+車位,1100319,0880122,華廈(10層含以下有電梯),3,2,2,坡道平面,有,49680,False
9521,110,深溪路55巷108號4樓,信義區,22.0,房地(土地+建物),1100314,0880122,公寓(5樓含以下無電梯),3,2,2,,無,38523,False
9522,110,觀海街152號13樓,中正區,22.0,房地(土地+建物)+車位,1100317,0880114,住宅大樓(11層含以上有電梯),2,2,2,坡道平面,有,30784,False
9523,110,觀海街120號7樓,中正區,22.0,房地(土地+建物)+車位,1100320,0880114,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,32763,False
9524,110,新豐街470之2號19樓,中正區,24.0,房地(土地+建物)+車位,1100131,0861121,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,48078,False
9525,110,觀海街183號16樓,中正區,22.0,房地(土地+建物)+車位,1100312,0880114,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,34329,False
9526,110,百二街111之3號,七堵區,41.0,房地(土地+建物),1100131,0690422,公寓(5樓含以下無電梯),3,1,1,,無,28206,False
9527,110,西定路148號,中山區,69.0,房地(土地+建物),1100304,0410000,透天厝,2,2,1,,無,142288,False
9528,110,暖暖街218號3樓,暖暖區,29.0,房地(土地+建物),1100302,0811107,公寓(5樓含以下無電梯),3,2,2,,無,50725,False
9529,110,教孝街2號2樓,信義區,30.0,房地(土地+建物)+車位,1100221,0800724,華廈(10層含以下有電梯),4,2,3,坡道平面,有,35359,False
9530,110,調和街5之3號,中正區,40.0,房地(土地+建物),1100314,0700730,公寓(5樓含以下無電梯),3,2,1,,無,21413,False
9531,110,復興路212巷68號,中山區,50.0,房地(土地+建物),1100331,0601229,透天厝,2,2,2,,無,39106,False
9532,110,信二路174巷178號,信義區,52.0,房地(土地+建物),1100324,0580718,透天厝,3,2,2,,無,37233,False
