,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址
5851,106,臺北市中山區中山北路二段175號十四樓,中山區,2.0,房地(土地+建物)+車位,1061123,1040918,住宅大樓(11層含以上有電梯),3,2,3,坡道平面,有,309006,False
5852,107,臺北市萬華區萬大路187巷1弄34號三樓,萬華區,43.0,房地(土地+建物),1070124,0640508,公寓(5樓含以下無電梯),0,0,0,,無,114224,False
5853,106,臺北市大同區迪化街二段275巷17號2樓,大同區,38.0,房地(土地+建物),1061128,0680307,公寓(5樓含以下無電梯),2,2,2,,無,139589,False
5854,106,臺北市萬華區興寧街66巷2弄26號五樓,萬華區,36.0,房地(土地+建物),1061229,0700115,公寓(5樓含以下無電梯),3,2,1,,無,108329,False
5855,107,臺北市萬華區環河南路一段71號十一樓之4,萬華區,41.0,房地(土地+建物),1070208,0660829,套房(1房1廳1衛),1,0,1,,無,114051,False
5856,106,臺北市內湖區民權東路六段90巷15弄23號3樓,內湖區,33.0,房地(土地+建物),1061217,0730127,公寓(5樓含以下無電梯),3,2,2,,無,151648,False
5857,106,臺北市中山區吉林路2號十四樓之1,中山區,7.0,房地(土地+建物)+車位,1061206,0990906,住宅大樓(11層含以上有電梯),4,2,2,坡道平面,有,277364,False
5858,107,臺北市中山區雙城街43巷1號三樓之3,中山區,43.0,房地(土地+建物),1070131,0640903,套房(1房1廳1衛),1,1,1,,無,149449,False
5859,106,臺北市內湖區內湖路三段60巷12弄77號9樓之4,內湖區,23.0,房地(土地+建物)+車位,1061224,0830729,住宅大樓(11層含以上有電梯),2,2,1,坡道平面,有,124302,False
5860,107,臺北市文山區萬隆街74號六樓,文山區,35.0,房地(土地+建物),1070118,0721122,華廈(10層含以下有電梯),3,2,2,,有,154759,False
5861,107,臺北市文山區木柵路四段33巷5號3樓之3,文山區,10.0,房地(土地+建物),1070115,0971208,套房(1房1廳1衛),1,0,1,,無,146249,False
5862,107,臺北市文山區福興路63巷11號五樓之3,文山區,24.0,房地(土地+建物),1070713,0830530,公寓(5樓含以下無電梯),1,1,1,,無,105422,False
5863,107,臺北市文山區仙岩路22巷27號十三樓,文山區,23.0,房地(土地+建物),1070512,0840411,住宅大樓(11層含以上有電梯),2,2,1,,有,159248,False
5864,107,臺北市大同區萬全街1號十樓之11,大同區,3.0,房地(土地+建物)+車位,1070801,1041016,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,208927,False
5865,107,臺北市萬華區康定路82號十一樓之3,萬華區,5.0,房地(土地+建物)+車位,1070526,1020528,住宅大樓(11層含以上有電梯),3,2,2,升降平面,有,160220,False
