,土地位置建物門牌,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,單價元平方公尺,修正地址,lon,lat
2562,臺北市大安區光復南路696號十二樓之1,10,1,1,1,有,320375,False,121.5571642,25.029766099999996
2563,臺北市大安區復興南路二段17號九樓之2,37,2,2,1,有,347442,False,121.54381389999999,25.0322632
2675,臺北市大安區信義路三段105號十二樓之7,15,0,1,1,有,420168,False,121.5388727,25.0337041
2677,臺北市大安區仁愛路四段122巷20號三樓,40,4,2,2,有,271675,False,121.5501798,25.036022099999997
2719,臺北市大安區敦化南路一段177巷46號三樓,2,1,1,1,有,419800,False,121.551375,25.0429076
2720,臺北市大安區敦化南路一段177巷46號三樓之1,2,1,1,1,有,418185,False,121.551375,25.0429076
2721,臺北市大安區敦化南路一段177巷46號三樓之2,2,1,1,1,有,424694,False,121.551375,25.0429076
2722,臺北市大安區忠孝東路四段233號九樓之9,40,0,0,0,有,292547,False,121.55346619999999,25.041680499999995
2723,臺北市大安區仁愛路四段445號五樓,34,3,2,2,有,340554,False,121.5570635,25.038080299999997
2724,臺北市大安區新生南路三段20之1號三樓,44,4,1,2,有,242862,False,121.53441600000001,25.024105999999996
2917,臺北市大安區安居街98巷14號,44,4,1,2,無,233077,False,121.55232079999999,25.0193131
2918,臺北市大安區建國南路一段341巷3號五樓,36,3,2,2,有,291746,False,121.53843330000001,25.034574700000004
2920,臺北市大安區忠孝東路三段234號十三樓之1,34,3,1,2,有,227431,False,121.5408982,25.0414484
2960,臺北市大安區敦化南路一段177巷46號八樓,2,0,0,0,有,499371,False,121.551375,25.0429076
2961,臺北市大安區忠孝東路三段305號九樓之4,39,0,0,0,有,295366,False,121.5434073,25.041879899999998
2962,臺北市大安區敦化南路二段172巷22號二樓,3,3,2,2,有,357296,False,121.5472683,25.0237837
2964,臺北市大安區忠孝東路三段248巷19弄44號三樓,39,3,2,1,無,250442,False,121.5426057,25.040175200000004
3004,臺北市大安區復興南路一段135巷15號八樓之2,49,1,1,1,有,343778,False,121.5450901,25.042717399999997
3126,臺北市大安區建國南路一段160號二樓之1,46,0,0,0,有,238923,False,121.53684519999999,25.0412
3169,臺北市大安區復興南路二段151巷30弄21號十九樓,37,3,2,1,有,261599,False,121.5458287,25.027353399999996
3170,臺北市大安區信義路四段263號七樓之5,45,2,2,1,有,352065,False,121.55407960000001,25.033409499999994
3209,臺北市大安區新生南路一段145巷19號五樓,41,2,2,1,無,272574,False,121.53444409999999,25.035882499999996
3214,臺北市大安區仁愛路四段125號十樓之1,45,3,2,2,有,377923,False,121.5504781,25.0381342
