Column1,公司名稱,分公司名稱,分公司地址,分公司狀態,修正地址,lon,lat,_1
15148,全家便利商店股份有限公司,莿桐饒平分公司,雲林縣莿桐鄉四合村后埔128、129號,1,0,120.5289,23.7773276,
8102,統一超商股份有限公司,台中縣第一七五分公司,臺中市梧棲區臺灣大道九段301號1樓,1,0,120.5292105,24.2522543,
3998,統一超商股份有限公司,雲林縣第十八分公司,雲林縣斗六市龍潭路14－1號,1,0,120.529343,23.692121,
3150,統一超商股份有限公司,彰化縣第二二九分公司,彰化縣和美鎮彰新路3段臨368號1樓,1,0,120.5293837,24.1112932,
5160,統一超商股份有限公司,台中縣第二九二分公司,臺中市梧棲區安仁里文化路2段55號1樓,1,0,120.5296161,24.2533045,
10117,統一超商股份有限公司,雲林縣第一四五分公司,雲林縣斗六市長安西路1-5號,1,0,120.5296317,23.71486485,
16601,全家便利商店股份有限公司,斗六四維分公司,雲林縣斗六市龍潭里四維路一三二號一樓,1,1,120.5296353,23.6921896,
9903,統一超商股份有限公司,台中市第六四六分公司,臺中市梧棲區自強一街76號1樓,1,0,120.5297049,24.2397457,
7627,統一超商股份有限公司,彰化縣第十四分公司,彰化縣彰化市崙平里崙平北路22號1樓,1,0,120.5298161,24.0696193,
3366,統一超商股份有限公司,彰化縣第一一六分公司,彰化縣彰化市中華西路212號1樓,1,0,120.530046,24.0725282,
6961,統一超商股份有限公司,彰化縣第六十二分公司,彰化縣田尾鄉光復路2段752號1樓,1,0,120.5300909,23.8916344,
20003,萊爾富國際股份有限公司,第四九七一分公司,臺中市梧棲區建國北街369號1樓,1,0,120.53011,24.2511337,
877,全聯實業股份有限公司,梧棲文化分公司,臺中市梧棲區文化路2段85號1樓及地下1樓,1,0,120.5301418,24.2544378,
17782,萊爾富國際股份有限公司,彰化金馬分公司,彰化縣彰化市金馬路三段四九七號一樓,1,1,120.5301697,24.0791396,
5908,統一超商股份有限公司,台中市第四三三分公司,臺中市龍井區龍門路48-15號1樓,1,0,120.5301893,24.1824449,
20119,萊爾富國際股份有限公司,第四八八八分公司,臺中市梧棲區自強二街76號,1,0,120.5302171,24.2411079,
16506,全家便利商店股份有限公司,龍井茄投分公司,臺中市龍井區龍東村茄投路六十七之一號一樓,1,1,120.53034,24.1783447,
6246,統一超商股份有限公司,雲林縣第一一四分公司,雲林縣斗六市西平路362號1樓,1,0,120.5303481,23.7159527,
339,全聯實業股份有限公司,彰化自強南分公司,彰化縣彰化市西興里自強南路589號1樓,1,0,120.5305175,24.0788658,
8214,統一超商股份有限公司,高雄市第四七七分公司,高雄市美濃區中壇里忠孝路一段一號一樓,1,1,120.5305188,22.886589,
2871,統一超商股份有限公司,雲林縣第六十六分公司,雲林縣斗六市保庄里1鄰明德北路3段285號1樓,1,0,120.5305407,23.7090668,
13952,全家便利商店股份有限公司,梧棲中和分公司,臺中市梧棲區文化里中和街1號1樓,1,0,120.5307643,24.2536024,
8484,統一超商股份有限公司,台中縣第一九０分公司,臺中市龍井區田中村臨港東路一段七十五號一樓,1,1,120.5311426,24.1944559,
10246,統一超商股份有限公司,彰化縣第二七一分公司,彰化縣埔心鄉員鹿路三段338號,1,0,120.5311835,23.9496874,
17495,全家便利商店股份有限公司,彰化縣第一二八分公司,彰化縣北斗鎮文昌里地政路150號,1,0,120.5313941,23.8740701,
14482,全家便利商店股份有限公司,屏東縣第一一三分公司,屏東縣長治鄉德和村德和路66號,1,0,120.531775,22.7175091,
14466,全家便利商店股份有限公司,高雄市第三三五分公司,高雄市杉林區月眉里清水路45號,1,0,120.5319895,22.9643983,
3924,統一超商股份有限公司,高雄市第四八六分公司,高雄市杉林區月眉村17鄰清水路46、46-1、48號1樓,1,0,120.5320901,22.9639497,
17976,萊爾富國際股份有限公司,第四三三五分公司,屏東縣潮州鎮八爺里大同路75號,1,0,120.5325847,22.5423539,
18619,萊爾富國際股份有限公司,第三七○九分公司,彰化縣彰化市西興里辭修路515號1樓,1,0,120.5326033,24.0764045,
9851,統一超商股份有限公司,台中市第六六七分公司,臺中市梧棲區八德路1號1樓,1,0,120.532612,24.262545,
13026,全家便利商店股份有限公司,台中市第六二三分公司,臺中市梧棲區頂寮里八德路1段2號、大仁路2段398號,1,0,120.532612,24.262545,
9951,統一超商股份有限公司,嘉義縣第一二四分公司,嘉義縣中埔鄉隆興村汴頭1-80號1樓,1,0,120.5326883,23.4413783,
9636,統一超商股份有限公司,台中縣第五十一分公司,臺中市梧棲區大智路二段385號1樓,1,0,120.5329838,24.259804,
1454,統一超商股份有限公司,彰化縣第三十一分公司,彰化縣彰化市南興里天祥路359號1樓,1,0,120.5332522,24.0615314,
8751,統一超商股份有限公司,彰化縣第二六二分公司,彰化縣彰化市辭修路508號,1,0,120.5334646,24.0780086,
11404,來來超商股份有限公司,第一○二二分公司,彰化縣彰化市天祥路241號1樓,1,0,120.5334987,24.0633229,
976,全聯實業股份有限公司,北斗斗中分公司,彰化縣北斗鎮東光里斗中路739號,1,0,120.5335091,23.8707272,
7789,統一超商股份有限公司,彰化縣第二十八分公司,彰化縣花壇鄉中山路2段649、651號1樓,1,0,120.5335478,24.0448543,
16671,全家便利商店股份有限公司,和美雙美分公司,彰化縣和美鎮糖東一街21號、23號1樓,1,0,120.533666,24.1073049,
5071,統一超商股份有限公司,彰化縣第一七四分公司,彰化縣和美鎮糖友一街2號1樓,1,0,120.533734,24.1066345,
14604,全家便利商店股份有限公司,雲林縣第一一三分公司,雲林縣斗六市鎮西里雲林路2段135號1樓,1,0,120.5337794,23.7044614,
19821,萊爾富國際股份有限公司,第四五一五分公司,雲林縣斗六市南京西路102號1樓,1,0,120.53399,23.7101183,
792,全聯實業股份有限公司,和美糖友分公司,彰化縣和美鎮糖友里糖友一街46號,1,0,120.5340608,24.1072997,
1021,全聯實業股份有限公司,彰化彰安分公司,彰化縣彰化市中正路2段828號1樓,1,0,120.5341837,24.0645522,
5385,統一超商股份有限公司,台中市第四六一分公司,臺中市梧棲區中興路121號1樓,1,0,120.534218,24.2532351,
10478,統一超商股份有限公司,雲林縣第十三分公司,雲林縣斗六市雲林路2段76號1樓,1,0,120.5344855,23.7053888,
3009,統一超商股份有限公司,台中市第四０七分公司,臺中市梧棲區港埠路1段989號1樓,1,0,120.5345118,24.2466897,
16816,全家便利商店股份有限公司,屏東縣第一二六分公司,屏東縣潮州鎮蓬萊里公園路157號1樓,1,0,120.5345167,22.5529776,
14345,全家便利商店股份有限公司,梧棲正港分公司,臺中市梧棲區民生街61號、63號1樓,1,0,120.534826,24.251412,
19241,萊爾富國際股份有限公司,斗六西平分公司,雲林縣斗六市北平路一號一之一號一樓,1,1,120.5348766,23.712632,
5095,統一超商股份有限公司,彰化縣第一七六分公司,彰化縣彰化市中山路1段286號1樓,1,0,120.5349115,24.0594111,
19620,萊爾富國際股份有限公司,斗六雲德分公司,雲林縣斗六市鎮南里明德路四五五號一樓,1,1,120.5350116,23.6989734,
1027,全聯實業股份有限公司,斗六西平分公司,雲林縣斗六市西平路248號,1,0,120.5353572,23.712245,
5544,統一超商股份有限公司,台中市第四七四分公司,臺中市梧棲區港埠路一段986號1樓,1,0,120.5354556,24.2472036,
1303,全聯實業股份有限公司,潮州公園分公司,屏東縣潮州鎮蓬萊里公園路117、119號,1,0,120.5354996,22.5526312,
17725,萊爾富國際股份有限公司,中縣大智分公司,臺中市梧棲區大智路二段253號1樓,1,0,120.5355002,24.2587708,
4973,統一超商股份有限公司,彰化縣第一七０分公司,彰化縣彰化市自強南路80之11號1樓,1,0,120.5356127,24.0877777,
90,全聯實業股份有限公司,潮州光復分公司,屏東縣潮州鎮光復路179號,1,0,120.5356179,22.5383961,
13481,全家便利商店股份有限公司,彰化自強分公司,彰化縣彰化市忠權里自強南路61號1樓,1,0,120.535633,24.0870868,
19779,萊爾富國際股份有限公司,第四七六七分公司,彰化縣彰化市南興里中山路1段366號,1,0,120.5356889,24.0612656,
6207,統一超商股份有限公司,彰化縣第一八六分公司,彰化縣彰化市中正路2段611號1樓,1,0,120.5357803,24.0685296,
7153,統一超商股份有限公司,屏東縣第五十七分公司,屏東縣潮州鎮永春里介壽路145號1樓,1,0,120.5359166,22.5426523,
9935,統一超商股份有限公司,台中市第六四八分公司,臺中市梧棲區永興路一段588巷28號1樓,1,0,120.5359835,24.2255127,
14018,全家便利商店股份有限公司,和美永美分公司,彰化縣和美鎮新庄里彰新路2段163號,1,0,120.5360321,24.095875,
4303,統一超商股份有限公司,屏東縣第一一一分公司,屏東縣長治鄉潭崙村中興路372之2號1樓,1,0,120.5362709,22.6873401,
