消防隊名稱,地址,聯絡電話,X座標_TWD97TM121,Y座標_TWD97TM121,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局第三救災救護大隊,苗栗縣頭份市水源路1巷10號,037-594596,120.91053313988057,24.679321655962983,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局頭份分隊,苗栗縣頭份市下興里水源路1巷10號,037-663040,0,0,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局南庄分隊,苗栗縣南庄鄉大同路27之5號,037-823035,120.99880736209064,24.597584813072874,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局三灣分隊,苗栗縣三灣鄉中山路43號,037-831092,120.95530299726916,24.654782867254198,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局獅潭分隊,苗栗縣獅潭鄉新店村4鄰46-6號,037-932240,120.92154511984016,24.541687688454903,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局大湖分隊,苗栗縣大湖鄉靜湖村忠孝路198號,037-991182,120.867134453796,24.42554139536096,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局卓蘭分隊,苗栗縣卓蘭鎮新厝里3鄰中正路1之10號,04-25892717,120.81545412540437,24.313685481749644,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局泰安分隊,苗栗縣泰安鄉錦水村5鄰圓墩26號,037-941341,120.94299396071646,24.465787547093583,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局特搜大隊,苗栗縣苗栗市經國路四段201號,037-558159,120.84260054667726,24.58184838004769,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局第四救災救護大隊,苗栗縣通霄鎮崇仁路36號3樓,037-760740,120.68579176578602,24.489408213129845,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局第五救災救護大隊,苗栗縣大湖鄉忠孝路198號3樓,037-991451,120.867134453796,24.42554139536096,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局特搜分隊,苗栗縣苗栗市經國路四段201號,037-558159,120.84260054667726,24.58184838004769,,,,,,,,,,,,,,,,,,,
苗栗縣政府消防局象鼻分隊,苗栗縣泰安鄉象鼻村1鄰象鼻6之2號,037-962245,120.94664502760851,24.360684693663504,,,,,,,,,,,,,,,,,,,
桃園市政府消防局埔心分隊,桃園市楊梅區五守街150號,03-4817310,121.18698791377828,24.911290861115017,,,,,,,,,,,,,,,,,,,
桃園市政府消防局三民分隊,桃園市桃園區三民路三段26號,03-3339236,121.30681369864375,24.998014968436962,,,,,,,,,,,,,,,,,,,
桃園市政府消防局大有分隊,桃園市桃園區民有十街88號,03-3167112,121.32185138960637,25.0104848434835,,,,,,,,,,,,,,,,,,,
桃園市政府消防局興國分隊,桃園市中壢區中豐路88號,03-4258146,121.21978952922298,24.962321778254672,,,,,,,,,,,,,,,,,,,
桃園市政府消防局,桃園市桃園區力行路280號,03-3379119,121.29802005243619,24.999670939388313,,,,,,,,,,,,,,,,,,,
桃園市政府消防局第一救災救護大隊,桃園市桃園區力行路280號,03-3341765,121.29798629668099,24.99976399853845,,,,,,,,,,,,,,,,,,,
桃園市政府消防局桃園分隊,桃園市桃園區力行路280號,03-3322234,121.29798629668099,24.99976399853845,,,,,,,,,,,,,,,,,,,
