,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
6430,109,華西街17之4號八樓之5,萬華區,38.0,房地(土地+建物),1091016,0711018,1,0,1,,有,104636,False,8,121.4983825,25.037033500000003
6431,109,忠孝西路二段38號十一樓,萬華區,13.0,房地(土地+建物)+車位,1091004,0961219,1,1,1,塔式車位,有,206078,False,11,121.50784370000001,25.0483329
6432,109,長沙街二段148號十六樓,萬華區,1.0,房地(土地+建物)+車位,1091018,1080304,3,2,2,坡道平面,有,205422,False,16,121.50131979999998,25.0406311
6433,109,忠順街二段85巷21號二樓,文山區,7.0,房地(土地+建物)+車位,1091030,1020103,3,2,2,坡道平面,有,190094,False,2,121.56571900000002,24.985901
6434,109,重慶南路三段3巷28號二樓,中正區,1.0,房地(土地+建物)+車位,1091017,1081107,2,1,1,坡道平面,有,222610,False,2,121.5161671,25.02803435
6435,109,萬利街69號三樓,文山區,21.0,房地(土地+建物)+車位,1091009,0880819,4,2,2,坡道平面,有,121676,False,3,121.563932,25.000975999999998
6436,109,水源路37之2號八樓,中正區,2.0,房地(土地+建物)+車位,1091015,1070223,2,2,1,坡道平面,有,169755,False,8,120.54303705000001,23.4452337
6437,109,興隆路三段185巷13弄8號四樓,文山區,37.0,房地(土地+建物),1091025,0720823,3,2,2,,無,94930,False,4,121.56292400000001,24.9955969
6438,109,興隆路三段185巷7弄16號二樓,文山區,37.0,房地(土地+建物),1091004,0720823,3,2,2,,無,95699,False,2,121.56174100000001,24.9959775
6439,109,仙岩路16巷93號八樓,文山區,22.0,房地(土地+建物)+車位,1091004,0870312,3,2,2,坡道平面,有,139691,False,8,121.55087350000001,24.996870200000004
6440,109,木柵路二段109巷25弄10號五樓,文山區,39.0,房地(土地+建物),1091012,0700508,3,2,1,,無,95869,False,5,121.56276,24.99023
6441,109,景豐街62巷23號三樓,文山區,26.0,房地(土地+建物),1091011,0831202,1,1,1,,有,161985,False,3,121.5459316,25.0013676
6442,109,康定路105號十七樓之1,萬華區,4.0,房地(土地+建物),1091007,1050331,0,0,0,,有,206781,False,17,121.50232600000001,25.03923
6443,109,成功路四段61巷37號四樓,內湖區,37.0,房地(土地+建物),1091008,0720810,3,2,2,,無,134525,False,4,121.593613,25.0803321
6444,109,康樂街85巷33號四樓,內湖區,36.0,房地(土地+建物),1091012,0731114,3,2,2,,無,133244,False,4,121.61971390000001,25.0696994
6445,109,新生北路一段44號三樓,中山區,32.0,房地(土地+建物),1091023,0770613,3,2,2,,有,193901,False,3,121.53127320000002,25.046427400000002
6446,109,環山路二段129號四樓,內湖區,39.0,房地(土地+建物),1091019,0700128,2,2,2,,無,152830,False,4,121.5764918,25.083942
6447,109,成功路二段250巷12弄5號三樓,內湖區,40.0,房地(土地+建物),1091001,0690529,3,2,1,,無,136589,False,3,121.58965590000001,25.065787200000003
6448,109,民權東路六段222號六樓,內湖區,13.0,房地(土地+建物)+車位,1091025,0960731,3,2,2,坡道平面,有,171093,False,6,121.5989365,25.066560999999997
6449,109,民權東路六段225號四樓,內湖區,9.0,房地(土地+建物)+車位,1091008,1001114,4,2,2,坡道平面,有,193296,False,4,121.59999189999999,25.0670778
6450,109,新富街139號九樓,內湖區,7.0,房地(土地+建物)+車位,1091002,1020808,2,2,2,坡道平面,有,182732,False,9,121.58560449999997,25.0603724
6451,109,經貿二路235巷33號九樓,南港區,6.0,房地(土地+建物)+車位,1091010,1031204,4,2,2,坡道平面,有,238171,False,9,121.61587519999999,25.061427699999996
6452,109,塔悠路19號十二樓,松山區,39.0,房地(土地+建物),1091020,0701226,4,3,3,,有,194112,False,12,121.5719533,25.050478500000004
6453,109,崗山路18號五樓,北投區,12.0,房地(土地+建物)+車位,1091024,0971021,2,2,2,塔式車位,有,139308,False,5,121.486924,25.14133
6454,109,光明路207號十九樓,北投區,3.0,房地(土地+建物)+車位,1091010,1060731,2,2,2,坡道平面,有,221139,False,19,121.5037974,25.1361695
6455,109,和平東路二段76巷23弄7之13號,大安區,49.0,房地(土地+建物),1091019,0600629,2,2,1,,無,267429,False,1,121.53970240000001,25.022854099999996
6456,109,興隆路四段6之16號六樓,文山區,30.0,房地(土地+建物)+車位,1091019,0790430,3,2,3,坡道平面,有,123035,False,6,121.55965589999998,24.989411900000004
6457,109,福州街61號五樓,中正區,32.0,房地(土地+建物),1091017,0770912,4,2,2,,有,147660,False,5,121.5143275,25.026695699999994
6458,109,龍江路209巷23號二樓,中山區,50.0,房地(土地+建物),1091006,0591009,4,2,1,,無,178162,False,2,121.5416035,25.056596499999998
6459,109,民權東路六段123巷34弄23號十一樓,內湖區,12.0,房地(土地+建物)+車位,1091030,0970429,4,2,2,坡道平面,有,177952,False,11,121.59205580000001,25.070527199999994
6460,109,敬業三路162巷140號五樓,中山區,20.0,房地(土地+建物)+車位,1091027,0890628,3,2,2,坡道平面,有,197261,False,5,121.5600233,25.0777748
6461,109,東湖路113巷111弄5號五樓,內湖區,32.0,房地(土地+建物),1091012,0770303,3,2,2,,無,114015,False,5,121.61517905000001,25.0727432
6462,109,吉林路26巷32號四樓,中山區,52.0,房地(土地+建物),1091013,0570701,3,2,1,,無,203466,False,4,121.52905840000001,25.0514083
6463,109,內湖路二段179巷35弄1號,內湖區,36.0,房地(土地+建物),1091020,0731015,4,2,2,,無,132444,False,1,121.5865602,25.0837479
6464,109,星雲街168巷35號十六樓之2,內湖區,23.0,房地(土地+建物),1091017,0860124,2,2,1,,有,214582,False,16,121.59718020000001,25.0799557
