,交易年份,土地位置建物門牌,屋齡,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,電梯,單價元平方公尺,修正地址
3732,110,臺北市中山區錦州街426巷1之1號三樓,45,3,1,1,無,205907,False
3789,110,臺北市中山區新生北路二段74號六樓之6,49,1,0,1,有,123732,False
3835,110,臺北市中山區吉林路369號三樓之6,42,1,0,1,有,169365,False
3843,110,臺北市中山區松江路156巷11號四樓,49,4,2,2,無,199754,False
3867,110,臺北市中山區民權東路二段135巷20弄15號,42,2,2,2,有,182509,False
3910,110,臺北市中山區天祥路16巷5號二樓,50,1,1,1,無,132238,False
3928,110,臺北市中山區合江街116巷24號,46,3,2,2,無,216898,False
3964,110,臺北市中山區中山北路二段59巷45號十六樓之1,22,1,1,1,有,235882,False
3965,110,臺北市中山區民生東路二段83號二樓之20,41,1,1,1,有,151288,False
3966,110,臺北市中山區錦州街50號五樓之23,37,1,0,1,有,125766,False
3992,110,臺北市中山區農安街227巷3弄12號五樓,44,3,2,2,無,155716,False
4019,110,臺北市中山區松江路508之1號五樓,37,1,1,2,有,201923,False
4020,110,臺北市中山區南京東路一段132巷31號五樓之2,36,1,1,1,有,134585,False
4022,110,臺北市中山區新生北路三段56巷10號六樓之6,40,1,1,1,有,143132,False
4047,110,臺北市中山區林森北路289號六樓之8,44,2,1,1,有,196305,False
4055,110,臺北市中山區五常街11巷5號十七樓之2,2,0,0,0,有,247260,False
4081,110,臺北市中山區新生北路二段68巷8號六樓之13,5,2,2,1,有,277956,False
4090,110,臺北市中山區建國北路一段78巷34號四樓,51,3,2,1,無,176855,False
4092,110,臺北市中山區農安街257號五樓,38,2,2,2,有,192308,False
4093,110,臺北市中山區新生北路三段11巷18號,55,7,3,3,無,188542,False
4094,110,臺北市中山區新生北路三段11巷18號,55,7,3,3,無,188542,False
4127,110,臺北市中山區復興南路一段30巷7號三樓,54,3,2,1,無,213675,False
4129,110,臺北市中山區新生北路二段73號五樓之1,42,1,1,1,有,182139,False
4156,110,臺北市中山區合江街105巷10號一樓,41,4,2,2,無,284566,False
4184,110,臺北市中山區林森北路409號十一樓之22,39,1,1,1,有,164096,False
4190,110,臺北市中山區合江街170巷9號二樓,39,4,1,2,無,150327,False
4250,110,臺北市中山區四平街56號四樓之3,13,2,1,1,有,318016,False
4277,110,臺北市中山區林森北路483號六樓之5,18,0,0,0,有,203892,False
4283,110,臺北市中山區龍江路370巷48號二樓之2,40,2,2,1,無,148833,False
4313,110,臺北市中山區新生北路三段1號三樓之15,40,1,1,1,有,163265,False
4317,110,臺北市中山區吉林路299巷9號四樓,36,3,2,2,無,203117,False
