,公司名稱,分公司名稱,分公司地址,分公司狀態,修正地址,lon,lat
115,全聯實業股份有限公司,大安樂利分公司,臺北市大安區樂利路89、91號,1,False,121.55184050000001,25.026603700000003
116,全聯實業股份有限公司,新莊豐年分公司,新北市新莊區豐年街21號,1,False,121.4464328,25.032602699999998
117,全聯實業股份有限公司,樹林樹德分公司,新北市樹林區樹德街35號,1,False,121.42163839999998,24.991666799999997
118,全聯實業股份有限公司,台中健行分公司,臺中市北區健行路447號,1,False,120.67984799999998,24.158969
119,全聯實業股份有限公司,中和中正分公司,新北市中和區中正路80號,1,False,121.50047930000001,24.9938723
120,全聯實業股份有限公司,新店惠國分公司,新北市新店區中正路12、12-1、12-2號及12號地下層,1,False,121.54549399999999,24.9696612
121,全聯實業股份有限公司,大安居安分公司,臺北市大安區安和路2段88號,1,False,121.5503136,25.0288878
122,全聯實業股份有限公司,北投行義分公司,臺北市北投區永欣里行義路10巷2號,1,False,121.5262729,25.124203899999998
123,全聯實業股份有限公司,台中豐后分公司,臺中市豐原區三豐路二段8號,1,False,120.72035600000001,24.264370999999997
124,全聯實業股份有限公司,中山德惠分公司,臺北市中山區新喜里吉林路413號1、2樓,1,False,121.53053480000001,25.0664816
125,全聯實業股份有限公司,永和警光分公司,新北市永和區竹林路168號地下1層、地下1層之1、地下1層之2,1,False,121.5202391,25.010108
127,全聯實業股份有限公司,虎尾中正分公司,雲林縣虎尾鎮林森路2段23號,1,False,120.43119449999999,23.7074507
128,全聯實業股份有限公司,信義莊敬分公司,臺北市信義區莊敬路325巷58號,1,False,121.564956,25.0289324
130,全聯實業股份有限公司,松山三民分公司,臺北市松山區富泰里三民路108號地下,1,False,121.5639817,25.0577385
131,全聯實業股份有限公司,天母天玉分公司,臺北市士林區天玉里天母西路3號地下,1,False,121.5293523,25.1185552
132,全聯實業股份有限公司,蘆洲民權分公司,新北市蘆洲區民族路31號,1,False,121.47772420000001,25.0850474
133,全聯實業股份有限公司,台中三和分公司,臺中市南屯區黎明路2段68、70號,1,False,120.63731310000001,24.144248200000003
135,全聯實業股份有限公司,新莊建中分公司,新北市新莊區建中街62號1樓,1,False,121.448076,25.037335000000002
136,全聯實業股份有限公司,台中仁和分公司,臺中市南區國光路198號,1,False,120.67905250000001,24.126567700000003
137,全聯實業股份有限公司,大安泰順分公司,臺北市大安區泰順街45號,1,False,121.53129459999998,25.022694599999998
138,全聯實業股份有限公司,中山晴光分公司,臺北市中山區晴光里林森北路575-1、575-3、575-4、575-6、575-7、575-8、575-9號,1,False,121.5258454,25.065172000000004
139,全聯實業股份有限公司,台中水湳分公司,臺中市北屯區中清路2段392、398、406號,1,False,120.6674802,24.180079000000003
140,全聯實業股份有限公司,亞東捷運分公司,新北市板橋區南雅南路2段122-23號1樓,1,False,121.45202739999999,24.997246699999998
