,交易年份,土地位置建物門牌,鄉鎮市區,屋齡,交易標的,交易年月日,建築完成年月,建物型態,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,車位類別,電梯,單價元平方公尺,修正地址,floor,lon,lat
297,108,基隆市安樂區武隆街103巷55弄31號5樓,安樂區,25.0,房地(土地+建物),1081109,0831108,公寓(5樓含以下無電梯),3,2,2,,無,20268,False,5,121.6921197,25.159594199999997
298,108,基隆市安樂區樂利三街28巷30之3號,安樂區,38.0,房地(土地+建物),1081110,0700921,公寓(5樓含以下無電梯),3,2,1,,無,39207,False,1,121.71368360000001,25.127570199999997
299,108,基隆市安樂區基金二路1巷176號10樓,安樂區,26.0,房地(土地+建物),1081127,0820107,住宅大樓(11層含以上有電梯),3,2,2,,有,15967,False,10,121.701269,25.141907999999997
300,108,基隆市暖暖區碇內街374號5樓,暖暖區,24.0,房地(土地+建物),1081128,0840808,華廈(10層含以下有電梯),3,2,2,,有,21925,False,5,121.752776,25.089474000000003
301,108,基隆市暖暖區源遠路165之8號7樓,暖暖區,23.0,房地(土地+建物)+車位,1081107,0850309,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,39283,False,7,121.7498679,25.098469800000004
302,108,基隆市安樂區樂利三街8巷6號17樓,安樂區,24.0,房地(土地+建物)+車位,1081130,0840504,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,44176,False,17,121.7189749,25.1292552
303,108,基隆市安樂區基金一路121巷20之2號4樓,安樂區,23.0,房地(土地+建物),1081117,0850503,公寓(5樓含以下無電梯),3,2,2,,無,45857,False,4,121.71745580000001,25.1361846
304,108,基隆市暖暖區暖暖街16巷25號4樓,暖暖區,26.0,房地(土地+建物),1081118,0820716,公寓(5樓含以下無電梯),3,1,1,,無,30068,False,4,121.73765799999998,25.102037499999998
305,108,基隆市暖暖區碇內街111之3號8樓,暖暖區,10.0,房地(土地+建物)+車位,1081029,0980624,住宅大樓(11層含以上有電梯),3,2,2,坡道平面,有,40777,False,8,121.75501969999999,25.091000299999997
306,108,基隆市暖暖區碇內街363號2樓,暖暖區,24.0,房地(土地+建物),1081119,0840517,華廈(10層含以下有電梯),3,2,2,,有,26027,False,2,121.75295589999999,25.0884959
307,108,基隆市安樂區基金二路1巷174之4號13樓之1,安樂區,27.0,房地(土地+建物)+車位,1081122,0811103,住宅大樓(11層含以上有電梯),1,1,1,坡道平面,有,30653,False,13,121.700464,25.141614999999994
308,108,基隆市安樂區中和路85巷38號8樓之2,安樂區,22.0,房地(土地+建物)+車位,1081126,0860508,住宅大樓(11層含以上有電梯),3,2,1,坡道平面,有,68345,False,8,121.72201949999999,25.148238499999998
309,108,基隆市中正區中船路5巷25號12樓,中正區,34.0,房地(土地+建物),1081117,0741219,住宅大樓(11層含以上有電梯),3,2,1,,有,54122,False,12,121.75055119999999,25.137937899999997
310,108,基隆市七堵區百二街227號,七堵區,27.0,房地(土地+建物),1081112,0811124,公寓(5樓含以下無電梯),3,2,2,,無,95034,False,1,121.69972529999998,25.082326400000003
311,108,基隆市安樂區樂利三街38巷62之1號,安樂區,40.0,房地(土地+建物),1081128,0680228,公寓(5樓含以下無電梯),2,2,1,,無,44431,False,1,121.7144498,25.1259812
312,108,基隆市七堵區福五街186之4號,七堵區,38.0,房地(土地+建物),1081113,0700411,公寓(5樓含以下無電梯),3,2,1,,無,25684,False,1,121.69775349999999,25.0879896
313,108,基隆市中山區通仁街134巷55之1號,中山區,37.0,房地(土地+建物),1081129,0710122,公寓(5樓含以下無電梯),3,2,1,,無,20968,False,1,121.73520850000001,25.145179900000002
314,108,基隆市中正區新豐街303巷14弄42號,中正區,30.0,房地(土地+建物),1081129,0780829,透天厝,4,2,3,,無,54153,False,1,121.7867123,25.1335613
315,108,基隆市信義區東明路55巷12之2號,信義區,40.0,房地(土地+建物),1081010,0680824,公寓(5樓含以下無電梯),3,2,1,,無,35212,False,1,121.76330430000002,25.126709800000004
316,108,基隆市中正區新豐街366號9樓,中正區,23.0,房地(土地+建物),1081126,0850309,住宅大樓(11層含以上有電梯),3,2,1,,有,35883,False,9,121.78658269999998,25.1366375
317,108,基隆市中正區新豐街336號12樓,中正區,23.0,房地(土地+建物),1081125,0850309,住宅大樓(11層含以上有電梯),3,2,2,,有,35543,False,12,121.7869066,25.135933599999998
318,108,基隆市信義區義七路38之1號,信義區,33.0,房地(土地+建物),1081117,0750710,公寓(5樓含以下無電梯),4,0,4,,無,32146,False,1,121.75338499999998,25.130408
