,index,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,交易年份,修正地址,floor,total_floor,lon,lat
392,423,安樂區,房地(土地+建物),基隆市安樂區基金一路112巷110弄14之6號3樓,11.76,住,,,1081117,土地4建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0851126,81.65,2,2,1,有,有,2680000,32823,,0.0,0,,RPROMLMKKIOFFCC87CA,63.51,0.0,8.8,有,,23.0,108,False,3,12,121.71521,25.140289999999997
393,424,暖暖區,房地(土地+建物),基隆市暖暖區東勢街26巷125之1號7樓,25.74,住,,,1081117,土地1建物1車位0,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840505,78.31,2,1,1,有,有,3500000,44694,,0.0,0,,RPOOMLQKKIOFFCC18EA,47.48,1.2,6.37,有,,24.0,108,False,7,9,121.7381356,25.096543799999996
394,425,信義區,房地(土地+建物)+車位,基隆市信義區深溪路55巷12號4樓之1,19.57,住,,,1081114,土地1建物1車位1,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0880122,106.84,2,1,1,有,有,2500000,23399,坡道平面,0.0,0,親友、員工或其他特殊關係間之交易。；,RPQNMLNLKIOFFBC87DA,50.01,0.0,6.29,有,,20.0,108,False,4,7,121.78206360000001,25.132708899999994
395,426,安樂區,車位,基隆市安樂區基金一路135巷21弄92號底二層,2.12,住,,,1081128,土地0建物0車位1,地下二層,七層,其他,見其他登記事項,鋼筋混凝土造,0820902,36.79,0,0,0,有,有,1100000,,坡道平面,36.79,1100000,單獨車位交易。；,RPPNMLTKKIOFFCC48EA,0.0,0.0,0.0,無,,26.0,108,False,2,7,121.7091035,25.1387233
396,427,安樂區,房地(土地+建物),基隆市安樂區安一路100巷90之3號,29.93,住,,,1081115,土地4建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土加強磚造,0621109,82.06,3,1,1,有,無,3000000,36559,,0.0,0,,RPRNMLNKKIOFFCC08EA,82.06,0.0,0.0,無,,46.0,108,False,4,4,121.73460639999999,25.1326635
397,428,七堵區,房地(土地+建物),基隆市七堵區崇信街41巷1之2號,36.2,其他,,,1081121,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710311,111.74,3,2,1,有,無,4100000,36692,,0.0,0,含增建或未登記建物。；,RPQOMLMKKIOFFCC77CA,90.39,0.0,21.35,無,,37.0,108,False,3,5,121.71226229999999,25.0996171
398,429,安樂區,房地(土地+建物)+車位,基隆市安樂區樂利三街369號3樓,80.1,住,,,1081118,土地1建物1車位1,三層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080723,219.09,0,0,0,無,無,15780000,75539,坡道平面,27.4,1300000,,RPSOMLQKKIOFFCC38CA,113.82,3.1,12.58,有,,0.0,108,False,3,12,121.71759519999999,25.1270919
399,430,安樂區,房地(土地+建物),基隆市安樂區樂利二街62巷109號6樓,33.22,住,,,1081011,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841002,104.91,3,2,2,有,有,4700000,44800,,0.0,0,,RPTOMLQKKIOFFCC48CA,79.09,1.83,9.91,有,,24.0,108,False,6,7,121.71654760000001,25.121039
400,431,七堵區,房地(土地+建物),基隆市七堵區崇禮街129巷26號,61.0,住,,,1081103,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0581121,88.01,2,1,1,有,無,6930000,78741,,0.0,0,,RPPNMLRKKIOFFCC08CA,88.01,0.0,0.0,無,,50.0,108,False,1,2,121.71385160000001,25.099772599999998
401,432,暖暖區,房地(土地+建物),基隆市暖暖區碇內街346號5樓,16.68,住,,,1081116,土地1建物1車位0,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840808,77.15,2,2,1,有,有,1700000,22035,,0.0,0,,RPPNMLMJJHPFFCC37CA,51.38,0.81,6.67,有,,24.0,108,False,5,6,121.752776,25.089474000000003
402,433,中正區,房地(土地+建物),基隆市中正區新豐街161巷75號,35.4,住,,,1081019,土地1建物1車位0,一層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740718,96.47,3,2,1,有,無,3800000,39390,,0.0,0,,RPRNMLQKKIOFFBC08CA,88.29,8.18,0.0,無,,34.0,108,False,1,4,121.789928,25.139548500000004
403,434,仁愛區,房地(土地+建物),基隆市仁愛區龍安街198巷27號2樓,28.52,住,,,1081119,土地3建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780203,96.25,3,2,2,有,無,5390000,56000,,0.0,0,,RPOOMLTKKIOFFBC18CA,83.1,0.0,13.15,無,,30.0,108,False,2,5,121.74103679999999,25.1227946
404,435,中正區,房地(土地+建物),基隆市中正區新豐街303巷19弄17號4樓,28.67,住,,,1081013,土地4建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0851119,95.11999999999999,3,2,1,有,無,3180000,33431,,0.0,0,,RPRNMLRKKIOFFBC18CA,66.36,0.04,5.98,無,,23.0,108,False,4,5,121.7892106,25.133333
