,index,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,交易年份,修正地址,floor,total_floor,lon,lat
911,1066,松山區,車位,臺北市松山區塔悠路298之2號,1.91,都市：其他:住宅用地(民生社區特定專用區)。,,,1101214,土地1建物1車位2,一層,八層,其他,一般事務所,鋼骨鋼筋混凝土造,0940914,22.1,0,0,0,有,有,2190000,,其他,0.0,2190000,僅車位交易；,RPUPMLMLKIGGFDA67DA,0.0,0.0,0.0,有,364.0,16.0,110,False,1,8,121.56858700000001,25.060304700000003
912,1067,松山區,房地(土地+建物),臺北市松山區南京東路五段45號三樓,16.64,商,,,1101115,土地1建物1車位0,三層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0721213,114.22999999999999,3,2,2,有,有,25200000,220608,,0.0,0,車位:目前沒有使用需要排隊陽台外推；,RPQOMLMLKIGGFDA17DA,81.52,0.0,9.05,有,,38.0,110,False,3,12,121.55863679999997,25.051780599999997
913,1068,信義區,房地(土地+建物),臺北市信義區忠孝東路五段471號九樓之2,19.87,商,,,1101112,土地2建物1車位0,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1100119,199.26,4,2,2,有,有,16000000,80297,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLLLKIGGFDA86DA,104.91,4.5,11.0,有,,0.0,110,False,9,15,121.57712899999999,25.041011899999997
914,1069,松山區,房地(土地+建物),臺北市松山區南京東路四段100號十樓,8.42,商,,,1101215,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0701230,83.44,1,1,1,有,無,20650000,247483,,0.0,0,,RPORMLNLKIGGFDA37DA,72.69,0.0,0.0,有,365.0,40.0,110,False,10,12,121.55425360000001,25.051396000000004
915,1070,松山區,房地(土地+建物),臺北市松山區新東街26巷19號四樓,36.0,都市：其他:住宅用地(民生社區特定專用區)。,,,1101004,土地1建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0610629,90.88,2,2,2,有,有,20330000,223702,,0.0,0,陽台外推；頂樓加蓋；,RPXNMLRKKIGGFDA18DA,90.88,0.0,0.0,無,366.0,49.0,110,False,4,4,121.5668755,25.0588453
916,1071,信義區,房地(土地+建物),臺北市信義區吳興街600巷100弄99號二樓,33.13,住,,,1101124,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0761116,111.02,3,2,2,有,無,13500000,121600,,0.0,0,,RPOOMLRKKIGGFDA37DA,87.1,1.15,11.97,無,,34.0,110,False,2,5,121.5728449,25.016890099999998
917,1072,南港區,房地(土地+建物)+車位,臺北市南港區重陽路486號九樓,35.99,住,,,1101020,土地1建物1車位2,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050411,290.35,3,2,2,有,有,51680000,219640,坡道平面,77.82,5000000,二個停車位未拆分單價,RPXOMLQKKIGGFDA18DA,115.69,9.79,15.02,有,,5.0,110,False,9,15,121.6117814,25.0602538
918,1073,內湖區,房地(土地+建物),臺北市內湖區內湖路二段484號十樓,7.86,商,,,1101107,土地1建物1車位0,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840112,86.65,3,1,1,有,有,17300000,199654,,0.0,0,,RPUQMLKLKIGGFCA47DA,50.29,12.67,13.6,有,,26.0,110,False,10,10,121.5933042,25.0842907
919,1074,內湖區,房地(土地+建物),臺北市內湖區康寧路三段165巷31號四樓,27.54,住,,,1101119,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750203,103.06,3,2,1,有,無,14700000,142635,,0.0,0,陽台外推；,RPSQMLLLKIGGFCA37DA,79.36,0.54,12.61,無,,35.0,110,False,4,5,121.6124955,25.071848599999996
920,1076,中山區,房地(土地+建物)+車位,臺北市中山區松江路170巷25號三樓,39.63,商,,,1101024,土地2建物1車位2,三層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0950208,253.75,3,2,2,有,有,55000000,286332,坡道平面,82.62,6000000,陽台加窗陽台外推；其他增建；,RPURMLLLKIGGFCA67DA,107.14,0.0,13.14,有,367.0,15.0,110,False,3,8,121.53052339999999,25.056195100000004
