,index,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,屋齡,交易年份,修正地址
7495,2416,文山區,房地(土地+建物),臺北市文山區興隆路三段152巷5號四樓,25.16,住,,,1110322,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690826,100.38000000000001,4,0,4,有,無,16000000,159394,,0.0,0,其他增建；,RPTPMLLMLHHGFAA37DA,79.36,0.0,11.04,無,,42.0,111,False
7496,2418,中正區,房地(土地+建物)+車位,臺北市中正區羅斯福路三段88號七樓,4.61,商,,,1110219,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0970805,65.56,3,2,2,有,有,18000000,274558,升降機械,0.0,0,,RPOPMLLKMHHGFAA76DA,34.22,3.53,3.62,有,,14.0,111,False
7497,2419,文山區,房地(土地+建物)+車位,臺北市文山區萬壽路62之2號,15.75,住,,,1110310,土地1建物1車位1,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0961023,42.21,1,0,1,有,有,5100000,131410,升降機械,11.01,1000000,陽台外推；其他增建；,RPPNMLKKMHHGFAA56DA,17.04,0.0,2.14,有,767.0,15.0,111,False
7498,2420,文山區,房地(土地+建物)+車位,臺北市文山區汀州路四段223號十二樓,31.99,住,,,1110228,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0991105,165.7,3,2,2,有,有,29800000,179843,坡道平面,0.0,0,,RPROMLSJMHHGFAA57DA,89.52,0.0,10.55,有,768.0,12.0,111,False
7499,2421,文山區,車位,臺北市文山區景華街150巷1之1、1之2、1之3、1之5、1之6號地下二層,9.56,住,,,1110314,土地1建物1車位8,地下二層,七層,其他,停車空間,鋼筋混凝土造,0960913,65.01,0,0,0,有,有,2150000,,升降機械,0.0,2150000,車位土地價款新台幣139.75萬元整；車位建物價款75.25萬元整僅車位交易；,RPOOMLMKMHHGFAA76DA,0.0,0.0,0.0,有,769.0,15.0,111,False
7500,2422,文山區,車位,臺北市文山區景華街150巷1之1、1之2、1之3、1之5、1之6號地下二層,9.56,住,,,1110314,土地1建物1車位8,地下二層,七層,其他,停車空間,鋼筋混凝土造,0960913,65.01,0,0,0,有,有,2150000,,升降機械,0.0,2150000,車位土地價款新台幣139.75萬元整；車位建物價款75.25萬元整僅車位交易；,RPPOMLMKMHHGFAA86DA,0.0,0.0,0.0,有,769.0,15.0,111,False
7501,2423,萬華區,房地(土地+建物),臺北市萬華區萬大路423巷101弄3號二樓,16.94,住,,,1110324,土地2建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640403,42.86,2,1,1,有,無,3032200,70747,,0.0,0,二親等間買賣按 公告現值親友、員工、共有人或其他特殊關係間之交易；,RPSPMLLJMHHGFBA17DA,42.86,0.0,0.0,無,,47.0,111,False
7502,2425,萬華區,房地(土地+建物),臺北市萬華區萬大路187巷3弄28號,14.53,商,,,1110307,土地1建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0640508,43.0,1,1,1,有,無,3640000,84651,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPQOMLLKMHHGFBA96DA,43.0,0.0,0.0,無,,47.0,111,False
7503,2426,萬華區,房地(土地+建物)+車位,臺北市萬華區中華路一段160號九樓之1,9.85,商,,,1110314,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020104,151.06,2,2,2,有,有,35380000,275481,坡道平面,33.52,3000000,,RPRNMLNJMHHGFBA07DA,74.84,0.0,5.86,有,772.0,9.0,111,False
7504,2427,大同區,房地(土地+建物)+車位,臺北市大同區南京西路187號,8.99,商,,,1110301,土地2建物1車位2,一層，騎樓,十三層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0980512,89.59,0,1,1,有,有,25000000,325107,塔式車位,21.92,3000000,,RPWNMLPKLHHGFBA77DA,43.96,0.0,0.0,有,,13.0,111,False
7505,2428,中山區,房地(土地+建物)+車位,臺北市中山區中山北路一段109號二十一樓,24.78,商,,,1110307,土地1建物2車位2,二十一層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,1060330,444.14,0,0,0,無,有,156000000,399301,坡道平面,72.24,7500000,,RPXOMLKMLHHGFCA77DA,222.03,8.68,31.18,有,,5.0,111,False
7506,2429,中山區,房地(土地+建物),臺北市中山區南京東路二段108號十三樓之11,3.28,商,,,1110306,土地3建物1車位0,十三層,十八層,住宅大樓(11層含以上有電梯),住家用,鋼骨造,0990917,49.95,1,1,1,有,有,15000000,300300,,0.0,0,,RPXTMLLMLHHGFCA38DA,28.88,1.25,3.19,有,,12.0,111,False
7507,2430,內湖區,房地(土地+建物)+車位,臺北市內湖區民權東路六段179號二樓,13.78,住,,,1110220,土地2建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,96.72,2,2,1,有,有,22800000,255434,塔式車位,15.29,2000000,,RPRPMLMLLHHGFCA37DA,44.21,5.5,4.78,有,773.0,7.0,111,False
7508,2431,內湖區,房地(土地+建物),臺北市內湖區安泰街51巷6號,22.14,住,,,1110227,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730706,81.53,3,2,1,有,無,11100000,136146,,0.0,0,其他增建；,RPOOMLPKLHHGFCA17DA,66.48,6.52,0.0,無,,38.0,111,False
7509,2432,內湖區,房地(土地+建物),臺北市內湖區康樂街136巷15弄30號七樓之5,14.33,住,,,1110307,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0941123,73.7,3,2,2,有,有,12500000,169607,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPUNMLKKLHHGFCA17DA,43.19,2.76,4.04,有,774.0,17.0,111,False
7510,2433,內湖區,房地(土地+建物),臺北市內湖區江南街27號四樓,31.59,住,,,1110220,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0720514,126.08,3,2,2,有,無,17000000,134835,,0.0,0,其他增建；,RPQOMLRJLHHGFCA47DA,95.63,0.0,11.15,無,,39.0,111,False
7512,2436,中山區,房地(土地+建物),臺北市中山區八德路二段66號五樓之12,9.42,住,,,1110310,土地1建物1車位0,五層,十一層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0950323,45.72,1,1,1,有,有,14640000,320210,,0.0,0,陽台外推；夾層；,RPWRMLQJMHHGFCA38DA,25.43,0.0,3.49,有,775.0,16.0,111,False
